"hmrc_code","measure","code_description"
"870870990","KG","Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and spec"
"870880200","KG","Suspension systems and parts thereof, incl. shock-absorbers, for the industrial assembly of: motor cars and other motor vehicles principally designed for the transport of persons, vehicles for the transport of goods with compression-ignition internal comb"
"870880350","KG","Suspension shock-absorbers for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor ve"
"870880550","KG","Anti roll bars and torsion bars, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose mo"
"870880990","KG","Suspension systems and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpo"
"870891200","KG","Radiators and parts thereof, for the industrial assembly of: pedestrian-controlled tractors, motor cars and vehicles principally designed for the transport of persons, vehicles for the transport of goods with compression-ignition internal combustion pisto"
"870891350","KG","Radiators for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles (excl. tho"
"871130900","KG","Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder capacity > 380 cm│ to 500 cm│"
"870891910","KG","Parts for radiators, of closed-die forged steel, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and sp"
"870891990","KG","Parts for radiators, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles"
"870892200","KG","Silencers ""mufflers"" and exhaust pipes, and parts thereof, for the industrial assembly of: pedestrian-controlled tractors, motor cars and vehicles principally designed for the transport of persons, vehicles for the transport of goods with compression-igni"
"870892350","KG","Silencers ""mufflers"" and exhaust pipes, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special pur"
"870892910","KG","Parts for silencers ""mufflers"" and exhaust pipes, of closed-die forged steel, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for "
"870892990","KG","Parts for silencers ""mufflers"" and exhaust pipes, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and s"
"870893100","KG","Clutches and parts thereof, for the industrial assembly of: pedestrian-controlled tractors, motor cars and vehicles principally designed for the transport of persons, vehicles for the transport of goods with compression-ignition internal combustion piston"
"870893900","KG","Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor v"
"870894200","KG","Steering wheels, steering columns and steering boxes, and parts thereof, for the industrial assembly of: motor cars and vehicles principally designed for the transport of persons, vehicles for the transport of goods with compression-ignition internal comb"
"870894350","KG","Steering wheels, columns and boxes, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose"
"870894910","KG","Parts for steering wheels, steering columns and steering boxes, of closed-die forged steel, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor"
"870919900","KG","Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used in factories, warehouses, dock areas or airports for short distance transport of goods, incl. tractors for railways station platforms (excl. vehicles specially d"
"870990000","KG","Parts of self-propelled works trucks, not fitted with lifting or handling equipment, of the type used in factories, warehouses, dock areas or airports for short distance transport of goods, incl. tractors for railways station platforms, n.e.s."
"871000000","KG","Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles, n.e.s."
"871110000","KG","Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with reciprocating internal combustion piston engine of a cylinder capacity <= 50 cm│"
"871120920","KG","Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm│ but <= 125 cm│ (excl. scooters)"
"854060000","KG","Cathoderay tubes (excl. television and video-monitor cathoderay tubes, television camera tubes, image converters or intensifiers, other photo-cathode tubes, black and white or other monochrome data-graphic display tubes and colour data-graphic display tub"
"854071000","KG","Magnetrons"
"854079000","KG","Microwave tubes, e.g. travelling wave tubes and carcinotrons (excl. magnetrons and grid-controlled tubes)"
"854081000","KG","Receiver or amplifier valves and tubes (excl. microwave tubes, photo-cathode tubes and cathode ray tubes)"
"854091000","KG","Parts of cathode ray tubes, n.e.s."
"854099000","KG","Parts of thermionic, cold cathode or photo cathode valves and tubes, n.e.s. (excl. parts of cathode ray tubes)"
"854110000","KG","Diodes (excl. photosensitive or light emitting diodes)"
"854121000","KG","Transistors with a dissipation rate < 1 W (excl. photosensitive transistors)"
"854239100","KG","Electronic integrated circuits in the form of multichip integrated circuits consisting of two or more interconnected monolithic integrated circuits as specified in note 8 (b) (3) to chapter 85 (excl. such as processors, controllers, memories and amplifier"
"854239900","KG","Electronic integrated circuits (excl.  in the form of multichip integrated circuits and such as processors, controllers, memories and amplifiers)"
"854290000","KG","Parts of electronic integrated circuits, n.e.s."
"854310000","KG","Electrical particle accelerators for electrons, protons, etc. (excl. ion implanters for doping semiconductor materials)"
"854320000","KG","Signal generators, electrical"
"854330000","KG","Machines and apparatus for electroplating, electrolysis or electrophoresis"
"854370100","KG","Electrical machines with translation or dictionary functions"
"854370300","KG","Aerial amplifiers"
"854370500","KG","Sunbeds, sunlamps and similar suntanning equipment"
"854370600","KG","Electric fence energisers"
"854370900","KG","Electrical machines and apparatus, having individual functions, n.e.s. in chap. 85"
"854390000","KG","Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter 85"
"854411900","KG","Winding wire for electrical purposes, of copper, insulated (excl. lacquered or enamelled)"
"854419000","KG","Winding wire for electrical purposes, of material other than copper, insulated"
"854420000","KG","Coaxial cable and other coaxial electric conductors, insulated"
"854430000","KG","Ignition wiring sets and other wiring sets for vehicles, aircraft or ships"
"854442100","KG","Electric conductors of a kind used for telecommunications, for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s."
"854442900","KG","Electric conductors, for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s. (other than of a kind used for telecommunications)"
"854449200","KG","Conductors, electric, for a voltage <= 80 V, insulated, not fitted with connectors, of a kind used for telecommunications, n.e.s."
"854449910","KG","Electric wire and cables, for a voltage <= 1.000 V, insulated, not fitted with connectors, with individual conductor wires of a diameter > 0,51 mm, n.e.s."
"854449930","KG","Conductors, electric, for a voltage <= 80 V, insulated, not fitted with connectors, n.e.s. (excl. winding wire, coaxial conductors, wiring sets for vehicles, aircraft or ships, and wire and cables with individual conductor wires of a diameter > 0,51 mm)"
"854449950","KG","Electric conductors for a voltage > 80 V but < 1.000 V, insulated, not fitted with connectors, n.e.s. (excl. winding wire, coaxial conductors, wiring sets for vehicles, aircraft or ships, and wire and cables with individual conductor wires of a diameter >"
"854449990","KG","Electric conductors for a voltage 1.000 V, insulated, not fitted with connectors, n.e.s. (excl. winding wire, coaxial conductors, wiring sets for vehicles, aircraft or ships, and wire and cables with individual conductor wires of a diameter > 0,51 mm)"
"854460100","KG","Electric conductors for a voltage > 1.000 V, insulated, with copper conductors, n.e.s."
"854460900","KG","Electric conductors for a voltage > 1.000 V, insulated, not with copper conductors, n.e.s."
"854470000","KG","Optical fibre cables made up of individually sheathed fibres, whether or not containing electric conductors or fitted with connectors"
"854519000","KG","Electrodes of graphite or other carbon, for electrical purposes (excl. those used for furnaces)"
"854520000","KG","Carbon brushes for electrical purposes"
"854590100","KG","Heating resistors for electrical purposes, of graphite or other carbon"
"854590900","KG","Articles of graphite or other carbon, for electrical purposes (excl. electrodes, carbon brushes and heating resistors)"
"854610000","KG","Electrical insulators of glass (excl. insulating fittings)"
"854620000","KG","Electrical insulators of ceramics (excl. insulating fittings)"
"854690100","KG","Electrical insulators of plastics (excl. insulating fittings)"
"854690900","KG","Electrical insulators (excl. those of glass, ceramics or plastics and insulating fittings)"
"854710000","KG","Insulating fittings for electrical purposes, of ceramics"
"854790000","KG","Insulating fittings for electrical purposes, of materials other than ceramics or plastics; electrical conduit tubing and joints therefor, of base metal lined with insulating material"
"854810100","KG","Spent primary cells and spent primary batteries, electrical"
"854810210","KG","Spent electric lead-acid accumulators"
"854810290","KG","Spent electric accumulators (excl. lead-acid accumulators)"
"854810910","KG","Waste and scrap of electric primary cells, primary batteries and accumulators, containing lead"
"854810990","KG","Waste and scrap of electric primary cells, primary batteries and accumulators (excl. those containing lead)"
"854890200","KG","Memories in multicombinational forms such as stack D-RAMs and modules"
"854890900","KG","Electrical parts of machinery or apparatus, n.e.s. in chapter 85"
"860110000","KG","Rail locomotives powered from an external source of electricity"
"860120000","KG","Rail locomotives powered by electric accumulators"
"860210000","KG","Diesel-electric locomotives"
"860310000","KG","Self-propelled railway or tramway coaches, vans and trucks, powered from an external source of electricity (excl. those of heading 8604)"
"860390000","KG","Self-propelled railway or tramway coaches, vans and trucks (excl. those powered from an external source of electricity and those of heading 8604)"
"860400000","KG","Railway or tramway maintenance or service vehicles, whether or not self-propelled, e.g., workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles"
"860500000","KG","Railway or tramway passenger coaches, luggage vans, post office coaches and other special purpose railway or tramway coaches (excl. self-propelled railway or tramway coaches, vans and trucks, railway or tramway maintenance or service vehicles and goods va"
"860610000","KG","Railway or tramway tank wagons and the like (excl. self-propelled)"
"860630000","KG","Railway or tramway self-discharging goods vans and wagons (excl. tank wagons and the like and insulated or refrigerated goods vans and wagons)"
"860691100","KG","Railway or tramway goods vans and wagons, covered and closed, specially designed for the transport of highly radioactive materials [Euratom] (excl. tank wagons and the like and insulated, refrigerated or self-discharging goods vans and wagons)"
"860691800","KG","Railway or tramway goods vans and wagons, covered and closed (excl. those specially designed for the transport of highly radioactive materials, tank wagons and the like and self-discharging goods vans and wagons)"
"860692000","KG","Railway or tramway goods vans and wagons, open, with non-removable sides of a height > 60 cm (excl. self-discharging wagons)"
"860699000","KG","Railway or tramway goods vans and wagons (excl. those specially designed for the transport of highly radioactive materials, tank wagons and the like, insulated, refrigerated or self-discharging goods vans and wagons and open goods vans and wagons with non"
"860711000","KG","Driving bogies and bissel-bogies for railway or tramway locomotives or rolling stock"
"860712000","KG","Bogies and driving bissel-bogies for railway or tramway locomotives or rolling stock (excl. driving bogies)"
"860719100","KG","Axles, wheels and wheel parts, of railway or tramway locomotives or rolling stock, n.e.s."
"860719900","KG","Parts of bogies, bissel-bogies and the like, of railway or tramway locomotives or rolling stock, n.e.s."
"860721100","KG","Air brakes and parts thereof, of railway or tramway locomotives or rolling stock, of cast iron or cast steel"
"860721900","KG","Air brakes and parts thereof, of railway or tramway locomotives or rolling stock (excl. of cast iron or cast steel)"
"860729000","KG","Brakes (other than air brakes), and parts thereof, for railway or tramway locomotives or rolling stock, n.e.s."
"860730000","KG","Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives or rolling stock, n.e.s."
"860791100","KG","Axle-boxes and parts thereof, for locomotives, n.e.s."
"860791900","KG","Parts of railway or tramway locomotives, n.e.s."
"860799100","KG","Axle-boxes and parts thereof, of railway or tramway locomotives or rolling stock of heading 8603, 8604, 8605 or 8606, n.e.s."
"860799800","KG","Parts of rolling stock of heading 8603, 8604, 8605 or 8606, n.e.s."
"860800000","KG","Railway or tramway track fixtures and fittings (excl. sleepers of wood, concrete or steel, sections of track and other track fixtures not yet assembled and railway or tramway track construction material); mechanical, incl. electromechanical, signalling, s"
"860900100","KG","Containers with an anti-radiation lead covering, for the transport of radioactive materials [Euratom]"
"860900900","KG","Containers specially designed and equipped for carriage by one or more modes of transport (excl. those with an anti-radiation lead covering for the transport of radioactive materials)"
"870120100","KG","Road tractors for semi-trailers, new"
"870120900","KG","Road tractors for semi-trailers, used"
"870130000","KG","Track-laying tractors (excl. pedestrian-controlled)"
"870190110","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power <= 18 kW (excl. pedestrian-controlled tractors)"
"870190200","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power > 18 kW but <= 37 kW (excl. pedestrian-controlled tractors)"
"870190250","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power > 37 kW but <= 59 kW (excl. pedestrian-controlled tractors)"
"870190310","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power > 59 kW but <= 75 kW (excl. tractor units for articulated lorries)"
"870190350","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power > 75 kW but <= 90 kW (excl. tractor units for articulated lorries)"
"870190390","KG","Agricultural tractors and forestry tractors, wheeled, new, of an engine power > 90 kW (excl. tractor units for articulated lorries)"
"870190500","KG","Agricultural tractors and forestry tractors, wheeled, used (excl. tractor units for articulated lorries and pedestrian-controlled tractors)"
"870190900","KG","Tractors, incl. tractor units for articulated lorries (excl. tractors of heading 8709, pedestrian-controlled tractors, road tractors for semi-trailers, track-laying tractors and agricultural and forestry tractors)"
"870210110","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"", of a cylinder capacity of > 2.500 cm│, new"
"870210190","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"", of a cylinder capacity of > 2.500 cm│, used"
"870210910","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"", of a cylinder capacity of <= 2.500 cm│, new"
"870210990","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"", of a cylinder capacity of <= 2.500 cm│, used"
"870290110","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with spark-ignition internal combustion piston engine, of a cylinder capacity of > 2.800 cm│, new"
"870290190","KG","Motor vehicles for the transport of >= 10 persons, incl. driver, with spark-ignition internal combustion piston engine, of a cylinder capacity of > 2.800 cm│, used"
"870331100","KG","Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of a cylinder capacity <= 1.500 cm│, ne"
"870331900","KG","Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of a cylinder capacity <= 1.500 cm│, us"
"870332110","KG","Motor caravans with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of a cylinder capacity > 1.500 cm│ but <= 2.500 cm│, new"
"870332190","KG","Motor cars and other motor vehicles, principally designed for the transport of persons, incl. station wagons, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of a cylinder capacity > 1.500 cm│ but <= 2.500 cm│, n"
"853110300","KG","Burglar or fire alarms and similar apparatus, for use in buildings"
"853110950","KG","Burglar or fire alarms and similar apparatus (excl. those for use in motor vehicles or buildings)"
"853120400","KG","Indicator panels with matrix liquid crystal devices ""LCD"", active (excl. those of a kind used for motor vehicles, cycles or traffic signalling)"
"853120950","KG","Indicator panels with liquid crystal devices ""LCD"" (excl. active matrix liquid crystal devices and those of a kind used for motor vehicles, cycles or traffic signalling)"
"853180200","KG","Electric sound or visual signalling apparatus, with flat panel display devices (excl. indicator panels with liquid crystal devices or light emitting diodes, burglar or fire alarms and similar apparatus and apparatus for cycles, motor vehicles and traffic "
"853180950","KG","Electric sound or visual signalling apparatus (excl. with flat panel display devices, indicator panels with liquid crystal devices or light emitting diodes, burglar or fire alarms and similar apparatus and apparatus for cycles, motor vehicles and traffic "
"853190200","KG","Parts of indicator panels with liquid crystal displays ""LCD"" or light-emitting diodes ""LED"" and of electric sound or visual signalling equipment with flat panel display devices, n.e.s. (excl. of  multichip integrated circuits)"
"853190850","KG","Parts of electric sound or visual signalling equipment, n.e.s. (excl. of indicator panels with liquid crystal devices or light emitting diodes, of electric sound or visual signalling apparatus with flat panel display devices and of multichip integrated ci"
"853210000","KG","Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling capacity of >= 0,5 kvar ""power capacitors"""
"853221000","KG","Fixed electrical capacitors, tantalum (excl. power capacitors)"
"853222000","KG","Fixed electrical capacitors, aluminium electrolytic (excl. power capacitors)"
"853223000","KG","Fixed electrical capacitors, ceramic dielectric, single layer (excl. power capacitors)"
"853224000","KG","Fixed electrical capacitors, ceramic dielectric, multilayer (excl. power capacitors)"
"853225000","KG","Fixed electrical capacitors, dielectric of paper or plastics (excl. power capacitors)"
"853229000","KG","Fixed electrical capacitors (excl. tantalum, aluminium electrolytic, ceramic, paper, plastic and power capacitors)"
"853510000","KG","Fuses for a voltage > 1.000 V"
"853521000","KG","Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV"
"853529000","KG","Automatic circuit breakers for a voltage >= 72,5 kV"
"853530100","KG","Isolating switches and make-and-break switches, for a voltage > 1.000 V but < 72,5 kV"
"853530900","KG","Isolating switches and make-and-break switches, for a voltage >= 72,5 kV"
"853540000","KG","Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V"
"853590000","KG","Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits, for a voltage > 1.000 V (excl. fuses, automatic circuit breakers, isolating switches, make-and-break switches, lightning arrester"
"853610100","KG","Fuses for a current <= 10 A, for a voltage <= 1.000 V"
"853610500","KG","Fuses for a current > 10 A but <= 63 A, for a voltage <= 1.000 V"
"853610900","KG","Fuses for a current > 63 A, for a voltage <= 1.000 V"
"853620900","KG","Automatic circuit breakers for a voltage <= 1.000 V, for a current > 63 A"
"853630100","KG","Apparatus for protecting electrical circuits for a voltage <= 1.000 V, for a current <= 16 A (excl. fuses and automatic circuit breakers)"
"853630300","KG","Apparatus for protecting electrical circuits for a voltage <= 1.000 V, for a current > 16 A but <= 125 A (excl. fuses and automatic circuit breakers)"
"853630900","KG","Apparatus for protecting electrical circuits for a voltage <= 1.000 V, for a current > 125 A (excl. fuses and automatic circuit breakers)"
"853641100","KG","Relays for a voltage <= 60 V, for a current <= 2 A"
"853641900","KG","Relays for a voltage <= 60 V, for a current > 2 A"
"853649000","KG","Relays for a voltage > 60 V but <= 1.000 V"
"853650030","KG","Electronic AC switches consisting of optically coupled input and output circuits ""insulated thyristor AC switches"" (excl. relays and automatic circuit breakers)"
"853650050","KG","Electronic switches, incl. temperature protected electronic switches, consisting of a transistor and a logic chip ""chip-on-chip technology"" (excl. relays and automatic circuit breakers)"
"853650070","KG","Electromechanical snap-action switches for a current <= 11 A (excl. relays and automatic circuit breakers)"
"853650110","KG","Push-button switches for a voltage of <= 60 V"
"853650150","KG","Rotary switches for a voltage of <= 60 V"
"853650190","KG","Switches for a voltage of <= 60 V (excl. relays, push-button switches and rotary switches)"
"853650800","KG","Switches for a voltage of > 60 V and <= 1.000 V (excl. relays, automatic circuit breakers, electronic AC switches consisting of optically coupled input and output circuits ""insulated thyristor AC switches"", electronic switches, incl. temperature protected"
"853661100","KG","Edison lamp holders, electric"
"853669100","KG","Plugs and sockets for a voltage of <= 1.000 V, for coaxial cables"
"853669300","KG","Plugs and sockets for a voltage of <= 1.000 V, for printed circuits"
"853669900","KG","Plugs and sockets for a voltage of <= 1.000 V (excl. those for coaxial cables and printed circuits)"
"853670000","KG","Connectors for optical fibres, optical fibre bundles or cables"
"853690010","KG","Prefabricated elements for electrical circuits, for a voltage of <= 1.000 V"
"853690100","KG","Connections and contact elements, for wire and cables, for a voltage of <= 1.000 V (excl. plugs, sockets and prefabricated elements)"
"853690200","KG","Wafer probers"
"853690850","KG","Electrical apparatus for making connections to or in electrical circuits, for a voltage <= 1.000 V (excl. fuses, circuit breakers and other apparatus for protecting electrical circuits, relays and other switches, lamp holders, plugs and sockets, prefabric"
"853710100","KG","Numerical control panels with built-in automatic data-processing machines"
"853710910","KG","Programmable memory controllers (excl. numerical control panels with built-in automatic data-processing machines)"
"853710990","KG","Boards, cabinets and similar combinations of apparatus for electric control or the distribution of electricity, for a voltage <= 1.000 V (excl. switching apparatus for line telephony or line telegraphy, numerical control panels with built-in automatic dat"
"853720910","KG","Boards, cabinets and similar combinations of apparatus for electric control or the distribution of electricity, for a voltage > 1.000 V but <= 72,5 kV"
"853720990","KG","Boards, cabinets and similar combinations of apparatus for electric control or the distribution of electricity, for a voltage > 72,5 kV"
"853810000","KG","Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not equipped with their apparatus"
"853890110","KG","Electronic assemblies for wafer probers of subheading 8536.90.20"
"853890190","KG","Parts for wafer probers of subheading 8536.90.20, n.e.s. (excl. electronic assemblies)"
"853890910","KG","Electronic assemblies for electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits of heading 8535 or 8536 and for control desks, cabinets and similar combinations of apparatus of heading"
"853890990","KG","Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, n.e.s. (excl. electronic assemblies, and boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not equipped with their appara"
"853910000","KG","Sealed beam lamp units"
"853921300","KG","Tungsten halogen filament lamps for motorcycles or other motor vehicles (excl. sealed beam lamp units)"
"853921920","KG","Tungsten halogen filament lamps for a voltage > 100 V"
"853921980","KG","Tungsten halogen filament lamps for a voltage <= 100 V (excl. those for motorcycles or other motor vehicles)"
"853922100","KG","Reflector filament lamps of a power <= 200 W and for a voltage > 100 V (excl. tungsten halogen filament lamps)"
"853922900","KG","Filament lamps of a power <= 200 W and for a voltage > 100 V (excl. tungsten halogen lamps, reflector lamps and ultraviolet or infra-red lamps)"
"853929300","KG","Filament lamps for motorcycles or other motor vehicles (excl. tungsten halogen lamps)"
"853929920","KG","Filament lamps for a voltage > 100 V (excl. tungsten halogen lamps, lamps of a power <= 200 W, and ultraviolet or infra-red lamps)"
"853929980","KG","Filament lamps for a voltage <= 100 V (excl. tungsten halogen lamps and lamps for motorcycles and other motor vehicles)"
"853931100","KG","Discharge lamps, fluorescent, hot cathode, with double ended cap"
"853931900","KG","Discharge lamps, fluorescent, hot cathode (excl. with double ended cap)"
"853932200","KG","Mercury or sodium vapour lamps"
"853932900","KG","Metal halide lamps"
"853939000","KG","Discharge lamps (excl. flourescent, hot cathode lamps, mercury or sodium vapour lamps, metal halide lamps and ultraviolet lamps)"
"853941000","KG","Arc lamps"
"853949000","KG","Ultraviolet or infra-red lamps"
"853990100","KG","Lamp bases for filament or discharge lamps and other lamps of heading 8539, n.e.s."
"853990900","KG","Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red lamps and arc lamps, n.e.s. (excl. lamp bases)"
"854011000","KG","Cathode ray television picture tubes, incl. video monitor cathode ray tubes, colour"
"854012000","KG","Cathode ray television picture tubes, incl. video monitor cathode ray tubes, black and white or other monochrome, with a screen width-to-height ratio of < 1,5 and a diagonal measurement of the screen > 72 cm"
"854020100","KG","Television camera tubes"
"854020800","KG","Image converters and intensifiers and other photo cathode tubes (excl. television camera tubes and cathode ray television picture tubes, incl. video monitor cathode ray tubes)"
"854040000","KG","Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch of < 0,4 mm (excl. photo cathode tubes and cathode ray tubes)"
"854129000","KG","Transistors with a dissipation rate >= 1 W (excl. photosensitive transistors)"
"854130000","KG","Thyristors, diacs and triacs (excl. photosensitive semiconductor devices)"
"854140100","KG","Light-emitting diodes, incl. laser diodes"
"854140900","KG","Photosensitive semiconductor devices, incl. photovoltaic cells"
"854150000","KG","Semiconductor devices, n.e.s."
"854160000","KG","Mounted piezoelectric crystals"
"854190000","KG","Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, light emitting diodes and mounted piezoelectric crystals, n.e.s."
"854231100","KG","Electronic integrated circuits as processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits in the form of multichip integrated circuits consisting of two or mor"
"854231900","KG","Electronic integrated circuits as processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits (excl. in the form of multichip integrated circuits)"
"854232100","KG","Electronic integrated circuits as memories in the form of multichip integrated circuits consisting of two or more interconnected monolithic integrated circuits as specified in note 8 (b) (3) to chapter 85"
"854232310","KG","Electronic integrated circuits as dynamic random-access memories ""D-RAMs"", with a storage capacity of <= 512 Mbit (excl. in the form of multichip integrated circuits)"
"854232390","KG","Electronic integrated circuits as dynamic random-access memories ""D-RAMs"", with a storage capacity of > 512 Mbit (excl. in the form of multichip integrated circuits)"
"854232450","KG","Electronic integrated circuits as static random access memories ""static RAMs"", incl. cache random-access memories ""cache-RAMs"" (excl. in the form of multichip integrated circuits)"
"854232550","KG","Electronic integrated circuits as UV erasable, programmable read-only memories ""EPROMs"" (excl. in the form of multichip integrated circuits)"
"854232610","KG","Electronic integrated circuits as electrically erasable, programmable read-only memories ""flash E▓PROMs"", with a storage capacity of <= 512 Mbit (excl. in the form of multichip integrated circuits)"
"854232690","KG","Electronic integrated circuits as electrically erasable, programmable read-only memories ""flash E▓PROMs"", with a storage capacity of > 512 Mbit (excl. in the form of multichip integrated circuits)"
"854232750","KG","Electronic integrated circuits as electrically erasable, programmable read-only memories ""E2PROMs"" (excl. flash E▓PROMs and in the form of multichip integrated circuits)"
"854232900","KG","Memories in multicombinational forms such as stack D-RAMs and modules (excl. in the form of multichip integrated circuits, and D-RAMs, S-Rams, cache-RAMs, EPROMs and flash E▓PROMs)"
"854233000","KG","Electronic integrated circuits as amplifiers"
"852329900","KG","Magnetic media for sound or image reproducing phenomena (excl. cards incorporating a magnetic stripe, magnetic tapes, magnetic strips and goods of chapter 37)"
"852341100","KG","Optical discs for laser reading systems, unrecorded, of a recording capacity <= 900 megabytes, non-erasable ""CD-Rs"""
"852341300","KG","Optical discs for laser reading systems, unrecorded, of a recording capacity > 900 megabytes but <= 18 gigabytes, non-erasable ""DVD-/+Rs"""
"852341900","KG","Optical media, unrecorded, for the recording of sound or of other phenomena ""e.g. CD-RWs, DVD-/+RWs, DVD-RAMs, MiniDiscs"" (excl. non-erasable discs for laser reading systems of a recording capacity <= 18 gigabytes [CD-Rs, DVD-/+Rs] and goods of chapter 37"
"852349250","KG","Optical discs for laser reading systems, recorded, for reproducing phenomena (excl. those for reproducing sound or image, and goods of chapter 37)"
"852349310","KG","Optical discs for laser reading systems, recorded, for reproducing sound only, of a diameter <= 6,5 cm"
"852349390","KG","Optical discs for laser reading systems, recorded, for reproducing sound only, of a diameter > 6,5 cm"
"852349450","KG","Optical discs for laser reading systems, recorded, for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or providing interactivity to a user, by means of an au"
"852359100","KG","Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excl. solid-state non-volatile data storage devices and smart cards)"
"852359910","KG","Semiconductor media, recorded, for reproducing phenomena (excl. those for reproducing sound or image, for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or p"
"852359930","KG","Semiconductor media, recorded, for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or providing interactivity to a user, by means of an automatic data-process"
"852359990","KG","Semiconductor media, recorded, for reproducing sound or image (excl. for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or providing interactivity to a user,"
"852380100","KG","Media for the recording of sound or of other phenomena, unrecorded, incl. matrices and masters for the production of discs (excl. magnetic, optical and semiconductor media, and products of chapter 37)"
"852380910","KG","Recorded media for reproducing phenomena (excl. those for reproducing sound or image, for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or providing interac"
